,day,date,hospitalized,icu,ventilated
86,58,2020-06-01,1619.227170642328,633.7036883202425,471.92470173173524
87,59,2020-06-02,1583.7444833753189,622.1077556380183,464.16226397095784
88,60,2020-06-03,1544.0603329469322,608.7049201113925,455.0032112803458
89,61,2020-06-04,1500.7459499234474,593.6961341518947,444.58709864546086
90,62,2020-06-05,1454.3858426314355,577.2936367358548,433.0639620979141
91,63,2020-06-06,1405.563402755065,559.7153436561282,420.59025761331463
92,64,2020-06-07,1354.8480193974092,541.1795577630933,407.324932630449
93,65,2020-06-08,1302.7840609517561,521.9001836574598,393.4257768696591
94,66,2020-06-09,1249.8819376474403,502.0825840055172,379.04616953490586
95,67,2020-06-10,1196.6113192367402,481.92016468971633,364.3323065098716
96,68,2020-06-11,1143.3964613680291,461.59172754970723,349.4209567906007
97,69,2020-06-12,1090.613496846232,441.25958590564414,334.43776479209646
98,70,2020-06-13,1038.589477030915,421.06840178836865,319.4960864301115
99,71,2020-06-14,987.6029039946043,401.144676172044,304.69632344468005
100,72,2020-06-15,937.8854734526722,381.5968048667419,290.12570303390635
101,73,2020-06-16,889.624748087168,362.5156026124446,275.8584386013267
102,74,2020-06-17,842.9674961698474,343.9751952551428,261.95620186435895
103,75,2020-06-18,798.0234566586532,326.03418325307166,248.46883593198027
104,76,2020-06-19,754.86932484321,308.7369875875852,235.43524223125087
105,77,2020-06-20,713.5527884264175,292.11529990588497,222.8843802680467
106,78,2020-06-21,674.0964797116358,276.1895710316653,210.83632711340192
107,79,2020-06-22,636.5017431839751,260.97048471266,199.3033523014551
108,80,2020-06-23,600.7521478458057,246.46037576780463,188.2909727643048
109,81,2020-06-24,566.8166994406492,232.65456305153702,177.79896095356867
110,82,2020-06-25,534.6527289282476,219.542577505395,167.82228702709563
111,83,2020-06-26,504.20845037421714,207.10927384889646,158.3519826886602
112,84,2020-06-27,475.4251941501079,195.33582115332138,149.3759198640994
113,85,2020-06-28,448.2393305031801,184.2005727296555,140.87950188230684
114,86,2020-06-29,422.58390471019084,173.67981959779172,132.8462682748509
115,87,2020-06-30,398.39000873809346,163.74843447574221,125.25841682663986
116,88,2020-07-01,375.5879161240082,154.3804149335465,118.09724823604301
117,89,2020-07-02,354.10800712706805,145.5493352897738,111.34353981571394
118,90,2020-07-03,333.88151049639055,137.2287171656185,104.97785521877722
119,91,2020-07-04,314.8410867746934,129.39232850725602,98.98079733090754
120,92,2020-07-05,296.9212761795279,122.01442047124965,93.33321133256322
121,93,2020-07-06,280.05883197967705,115.06991094666273,88.01634459594334
122,94,2020-07-07,264.19295806501214,108.53452274429264,83.01196960962034
123,95,2020-07-08,249.2654672056633,102.38488368218896,78.30247557653956
124,96,2020-07-09,235.22087438518793,96.59859498390279,73.87093375071345
125,97,2020-07-10,222.0064376224018,91.15427361513593,69.70114099563898
126,98,2020-07-11,209.57215689440272,86.03157343745579,65.77764548498635
127,99,2020-07-12,197.87074015289727,81.2111893682013,62.085757937728886
128,100,2020-07-13,186.85754398762583,76.67484811054146,58.61155129419012
