,day,date,hospitalized,icu,ventilated
78,50,2020-05-24,247.11880106139324,74.13564031841793,49.423760212278694
79,51,2020-05-25,245.99965603042165,73.79989680912627,49.1999312060841
80,52,2020-05-26,243.9483793876543,73.1845138162962,48.789675877530954
81,53,2020-05-27,241.00768803672145,72.30230641101639,48.201537607344335
82,54,2020-05-28,237.23347587948047,71.1700427638441,47.44669517589591
83,55,2020-05-29,232.69280394193265,69.80784118257998,46.5385607883868
84,56,2020-05-30,227.4616054900962,68.23848164702895,45.49232109801915
85,57,2020-05-31,221.62223432280553,66.48667029684157,44.324446864561196
86,58,2020-06-01,215.26098358363743,64.57829507509132,43.052196716727394
87,59,2020-06-02,208.46569212064514,62.539707636193725,41.6931384241293
88,60,2020-06-03,201.32353760833485,60.397061282500545,40.26470752166665
89,61,2020-06-04,193.9190928559956,58.1757278567984,38.78381857119916
90,62,2020-06-05,186.33269664992076,55.89980899497641,37.2665393299842
91,63,2020-06-06,178.6391656137257,53.59174968411753,35.72783312274487
92,64,2020-06-07,170.90685096514972,51.272055289544824,34.18137019303026
93,65,2020-06-08,163.19702513798438,48.9591075413955,32.63940502759692
94,66,2020-06-09,155.56356881632928,46.669070644898966,31.1127137632659
95,67,2020-06-10,148.05291919763476,44.41587575929043,29.610583839526953
96,68,2020-06-11,140.7042349872845,42.211270496184625,28.140846997456492
97,69,2020-06-12,133.54973212812365,40.06491963843746,26.70994642562505
98,70,2020-06-13,126.61514579840878,37.984543739522906,25.32302915968171
99,71,2020-06-14,119.92027792883891,35.976083378651765,23.984055585767692
100,72,2020-06-15,113.47959459605227,34.04387837881541,22.6959189192105
101,73,2020-06-16,107.3028434508251,32.19085303524753,21.460568690165246
102,74,2020-06-17,101.39566728031423,30.418700184093723,20.279133456062482
103,75,2020-06-18,95.7601954760903,28.72805864282782,19.152039095218242
104,76,2020-06-19,90.39560031268047,27.11868009380396,18.079120062536276
105,77,2020-06-20,85.29860938161619,25.5895828144844,17.059721876322783
106,78,2020-06-21,80.46396921405722,24.1391907642178,16.092793842811716
107,79,2020-06-22,75.88485806839162,22.765457420517578,15.176971613678234
108,80,2020-06-23,71.55324811265564,21.46597443379642,14.3106496225314
109,81,2020-06-24,67.4602188751578,20.238065662547797,13.492043775031561
110,82,2020-06-25,63.596224963688655,19.078867489105505,12.719244992737458
111,83,2020-06-26,59.95132175865001,17.985396527595185,11.99026435172982
112,84,2020-06-27,56.51535315750698,16.95460594725273,11.303070631501669
113,85,2020-06-28,53.27810556712939,15.983431670138089,10.655621113425696
114,86,2020-06-29,50.22943227540236,15.068829682620617,10.045886455080563
115,87,2020-06-30,47.35935214055826,14.207805642168296,9.471870428111743
116,88,2020-07-01,44.65812626107254,13.397437878321853,8.931625252214872
117,89,2020-07-02,42.116315966748516,12.634894790023736,8.423263193349158
118,90,2020-07-03,39.72482512797251,11.91744753839248,7.9449650255946835
